File Name,ahashdiff,dhashdiff,percent,ahashdiffOtsu,label
08s920106da_L4_1212b_010610a_45_16_ROI2_OPOK.png,5,22,0.10772557499508552,5,NG
109960074a0_L9_0125a_012608a_11_40_ROI0_OPOK.png,42,21,1.7586206896551724,42,NG
109960074a0_L9_0125a_012608a_11_48_ROI0_OPOK.png,63,20,100.0,63,NG
109960074a0_L9_0125a_012608a_26_7_ROI0_OPOK.png,44,21,1.9391891891891893,43,NG
109960074a0_L9_0125a_012608a_76_16_ROI0_OPOK.png,36,24,8.107231920199501,35,NG
10s920121ef_L2_0807a_010710a_15_11_ROI0_OPOK.png,34,24,1.2685185185185186,36,NG
10s920121ef_L2_0807a_010710a_15_17_ROI0_OPOK.png,42,27,1.2651515151515151,42,NG
10s920121ef_L2_0807a_010710a_52_104_ROI0_OPOK.png,0,24,0.15278318411833397,0,NG
10s920121ef_L4_0807a_010606b_119_21_ROI0_OPOK.png,40,29,1.0817594433399602,41,NG
10s920121ef_L4_0807a_010606b_119_23_ROI0_OPOK.png,38,25,1.0418981481481482,39,NG
10s920121ef_L4_0807a_010606b_133_19_ROI0_OPOK.png,27,34,2.049264705882353,29,NG
10s920121ef_L4_0807a_010606b_67_2_ROI0_OPOK.png,41,30,1.5897985426489498,43,NG
10s920121ef_L9_0807a_010715a_102_100_ROI0_OPOK.png,27,29,1.8298865910607072,27,NG
10s920121ef_L9_0807a_010715a_102_70_ROI0_OPOK.png,37,23,1.833225806451613,38,NG
10s920121ef_L9_0807a_010715a_102_91_ROI0_OPOK.png,36,23,4.9696,28,NG
10s920121ef_L9_0807a_010715a_156_53_ROI0_OPOK.png,33,34,1.589849513130717,36,NG
10s920121ef_L9_0807a_010715a_161_51_ROI0_OPOK.png,39,27,1.8849439402028831,37,NG
14a890202k0_L13_0123b_012610a_146_0_ROI0_OPOK.png,53,30,0.0578125,60,NG
14a890202k0_L13_0123b_012610a_148_0_ROI0_OPOK.png,15,32,0.13333333333333333,14,NG
14a890202k0_L13_0123b_012610a_153_1_ROI0_OPOK.png,52,31,0.0953125,58,NG
14a890202k0_L13_0123b_012610a_161_0_ROI0_OPOK.png,53,25,0.0653125,58,NG
14a890202k0_L13_0123b_012610a_200_0_ROI0_OPOK.png,55,27,0.08140625,58,NG
14a890202k0_L13_0123b_012610a_208_1_ROI1_OPOK.png,15,9,0.3392361111111111,15,NG
14a890202k0_L13_0123b_012610a_20_0_ROI0_OPOK.png,51,26,0.04140625,61,NG
14a890202k0_L13_0123b_012610a_220_10_ROI0_OPOK.png,57,27,0.0640625,60,NG
14a890202k0_L13_0123b_012610a_226_0_ROI0_OPOK.png,55,26,0.1225,56,NG
14a890202k0_L13_0123b_012610a_260_0_ROI0_OPOK.png,55,28,0.114375,56,NG
14a890202k0_L13_0123b_012610a_269_0_ROI0_OPOK.png,54,26,0.0328125,61,NG
14a890202k0_L13_0123b_012610a_277_3_ROI0_OPOK.png,46,23,0.03609375,62,NG
14a890202k0_L13_0123b_012610a_292_9_ROI0_OPOK.png,5,29,0.08666666666666667,4,NG
14a890202k0_L13_0123b_012610a_316_0_ROI0_OPOK.png,52,29,0.14609375,54,NG
14a890202k0_L13_0123b_012610a_318_0_ROI2_OPOK.png,54,28,0.1378125,56,NG
14a890202k0_L13_0123b_012610a_318_1_ROI0_OPOK.png,4,28,0.0810483870967742,4,NG
14a890202k0_L13_0123b_012610a_319_5_ROI0_OPOK.png,55,28,0.079375,57,NG
14a890202k0_L13_0123b_012610a_333_0_ROI0_OPOK.png,8,21,0.08474020652352074,5,NG
14a890202k0_L13_0123b_012610a_334_1_ROI0_OPOK.png,45,29,0.02453125,62,NG
14a890202k0_L13_0123b_012610a_337_0_ROI0_OPOK.png,54,30,0.07515625,58,NG
14a890202k0_L13_0123b_012610a_342_0_ROI0_OPOK.png,52,23,0.04828125,60,NG
14a890202k0_L13_0123b_012610a_362_1_ROI0_OPOK.png,53,24,0.08265625,58,NG
14a890202k0_L13_0123b_012610a_378_1_ROI0_OPOK.png,9,26,0.12408088235294118,7,NG
14a890202k0_L13_0123b_012610a_387_0_ROI0_OPOK.png,56,25,0.0965625,57,NG
14a890202k0_L13_0123b_012610a_389_3_ROI0_OPOK.png,55,24,0.07890625,59,NG
14a890202k0_L13_0123b_012610a_394_6_ROI0_OPOK.png,54,27,0.095,57,NG
