File Name,ahash,phash,dhash,label
08s920106da_L4_1212b_010610a_45_16_ROI2_OPOK.png,5,12,24,NG
109960074a0_L5_0125a_012608a_1_32_ROI0_OPOK.png,56,5,18,NG
109960074a0_L5_0125a_012608a_41_9_ROI0_OPOK.png,14,19,15,NG
109960074a0_L9_0125a_012608a_11_40_ROI0_OPOK.png,42,21,21,NG
109960074a0_L9_0125a_012608a_11_48_ROI0_OPOK.png,63,4,20,NG
109960074a0_L9_0125a_012608a_26_7_ROI0_OPOK.png,44,14,21,NG
109960074a0_L9_0125a_012608a_76_16_ROI0_OPOK.png,36,28,25,NG
10s920121ef_L2_0807a_010710a_15_11_ROI0_OPOK.png,34,10,24,NG
10s920121ef_L2_0807a_010710a_15_17_ROI0_OPOK.png,42,8,27,NG
10s920121ef_L2_0807a_010710a_425_3_ROI0_OPOK.png,29,28,21,NG
10s920121ef_L2_0807a_010710a_52_104_ROI0_OPOK.png,0,25,26,NG
10s920121ef_L4_0807a_010606b_119_21_ROI0_OPOK.png,40,13,28,NG
10s920121ef_L4_0807a_010606b_119_23_ROI0_OPOK.png,38,11,25,NG
10s920121ef_L4_0807a_010606b_133_19_ROI0_OPOK.png,27,10,34,NG
10s920121ef_L4_0807a_010606b_21_3_ROI0_OPOK.png,42,9,21,NG
10s920121ef_L4_0807a_010606b_67_2_ROI0_OPOK.png,41,26,30,NG
10s920121ef_L9_0807a_010715a_102_100_ROI0_OPOK.png,27,26,29,NG
10s920121ef_L9_0807a_010715a_102_69_ROI0_OPOK.png,34,28,30,NG
10s920121ef_L9_0807a_010715a_102_70_ROI0_OPOK.png,37,23,23,NG
10s920121ef_L9_0807a_010715a_102_91_ROI0_OPOK.png,36,30,23,NG
10s920121ef_L9_0807a_010715a_156_53_ROI0_OPOK.png,33,29,34,NG
10s920121ef_L9_0807a_010715a_156_72_ROI0_OPOK.png,36,20,30,NG
10s920121ef_L9_0807a_010715a_156_89_ROI0_OPOK.png,39,23,23,NG
10s920121ef_L9_0807a_010715a_161_51_ROI0_OPOK.png,39,18,26,NG
10s920121ef_L9_0807a_010715a_91_79_ROI0_OPOK.png,28,19,31,NG
14a890202k0_L13_0123b_012610a_116_0_ROI0_OPOK.png,55,8,25,NG
14a890202k0_L13_0123b_012610a_129_0_ROI0_OPOK.png,51,6,28,NG
14a890202k0_L13_0123b_012610a_146_0_ROI0_OPOK.png,53,6,30,NG
14a890202k0_L13_0123b_012610a_148_0_ROI0_OPOK.png,15,7,24,NG
14a890202k0_L13_0123b_012610a_153_1_ROI0_OPOK.png,52,8,31,NG
